Namespace(agcrn_embed_dim=10, agcrn_hidden_size=64, agcrn_n_layers=1, bad_limit=25, batch_size=64, data_dir='data/forecasting', dataset='air-quality', device='cuda', dsanet_d_inner=2048, dsanet_d_k=64, dsanet_d_model=512, dsanet_d_v=64, dsanet_dropout=0.1, dsanet_local=3, dsanet_n_head=8, dsanet_n_kernels=32, dsanet_n_layers=1, dsanet_w_kernel=1, fine_tuning=False, horizon=1, lmbd=0.0, local_norm=False, lr=0.003, lstm_hidden_size=64, lstm_n_layers=2, model_decay_rate=1, model_loadpath='outputs/forecasting/air-quality_LSTM_bstmodel.pth', model_type='LSTM', n_epochs=750, n_series=None, norm_type='standard', output_dir='outputs/forecasting', series_len=60, task_type='forecasting', tcn_dropout=0, tcn_hidden_size=64, tcn_n_layers=9, test_ratio=0.2, tpa_ar_len=24, tpa_hidden_size=64, tpa_n_layers=1, trans_hidden_size=256, trans_kernel_size=6, trans_n_head=8, trans_n_layers=3, valid_ratio=0.2)
total num of parameters: 54349
Length of dataset: 5554
Length of dataset: 1871
Length of dataset: 1872
epoch = 1 , trn loss = 0.165043 , trn err = 0.406349 , val loss = 0.126952 , val err = 0.371082 , tst loss = 0.118150 , tst err = 0.396857
epoch = 2 , trn loss = 0.053190 , trn err = 0.230684 , val loss = 0.090722 , val err = 0.313693 , tst loss = 0.091473 , tst err = 0.349192
epoch = 3 , trn loss = 0.040395 , trn err = 0.201032 , val loss = 0.080050 , val err = 0.294666 , tst loss = 0.078114 , tst err = 0.322688
epoch = 4 , trn loss = 0.033347 , trn err = 0.182653 , val loss = 0.070606 , val err = 0.276739 , tst loss = 0.067588 , tst err = 0.300159
epoch = 5 , trn loss = 0.030621 , trn err = 0.175029 , val loss = 0.052948 , val err = 0.239648 , tst loss = 0.046219 , tst err = 0.248216
epoch = 6 , trn loss = 0.028912 , trn err = 0.170075 , val loss = 0.052312 , val err = 0.238204 , tst loss = 0.044678 , tst err = 0.244042
epoch = 7 , trn loss = 0.027768 , trn err = 0.166677 , val loss = 0.048862 , val err = 0.230216 , tst loss = 0.041443 , tst err = 0.235042
epoch = 8 , trn loss = 0.026992 , trn err = 0.164332 , val loss = 0.046626 , val err = 0.224888 , tst loss = 0.040255 , tst err = 0.231647
epoch = 9 , trn loss = 0.026023 , trn err = 0.161354 , val loss = 0.042267 , val err = 0.214115 , tst loss = 0.035529 , tst err = 0.217624
epoch = 10 , trn loss = 0.026060 , trn err = 0.161468 , val loss = 0.042798 , val err = 0.215457 , tst loss = 0.035364 , tst err = 0.217118
epoch = 11 , trn loss = 0.025024 , trn err = 0.158225 , val loss = 0.041188 , val err = 0.211366 , tst loss = 0.034170 , tst err = 0.213422
