Namespace(agcrn_embed_dim=10, agcrn_hidden_size=64, agcrn_n_layers=1, bad_limit=25, batch_size=64, data_dir='data/forecasting', dataset='electricity', device='cuda', dsanet_d_inner=2048, dsanet_d_k=64, dsanet_d_model=512, dsanet_d_v=64, dsanet_dropout=0.1, dsanet_local=3, dsanet_n_head=8, dsanet_n_kernels=32, dsanet_n_layers=1, dsanet_w_kernel=1, fine_tuning=False, horizon=1, lmbd=0.0, local_norm=False, lr=0.003, lstm_hidden_size=64, lstm_n_layers=2, model_decay_rate=1, model_loadpath='outputs/forecasting/electricity_LSTM_bstmodel.pth', model_type='LSTM', n_epochs=750, n_series=None, norm_type='standard', output_dir='outputs/forecasting', series_len=60, task_type='forecasting', tcn_dropout=0, tcn_hidden_size=64, tcn_n_layers=9, test_ratio=0.2, tpa_ar_len=24, tpa_hidden_size=64, tpa_n_layers=1, trans_hidden_size=256, trans_kernel_size=6, trans_n_head=8, trans_n_layers=3, valid_ratio=0.2)
total num of parameters: 153217
Length of dataset: 15722
Length of dataset: 5261
Length of dataset: 5261
epoch = 1 , trn loss = 0.256068 , trn err = 0.505376 , val loss = 0.011741 , val err = 0.157019 , tst loss = 0.036435 , tst err = 0.179873
epoch = 2 , trn loss = 0.018836 , trn err = 0.137067 , val loss = 0.006669 , val err = 0.118336 , tst loss = 0.014410 , tst err = 0.113118
epoch = 3 , trn loss = 0.010782 , trn err = 0.103701 , val loss = 0.005991 , val err = 0.112163 , tst loss = 0.010021 , tst err = 0.094330
epoch = 4 , trn loss = 0.008910 , trn err = 0.094270 , val loss = 0.005623 , val err = 0.108664 , tst loss = 0.011353 , tst err = 0.100405
epoch = 5 , trn loss = 0.008393 , trn err = 0.091495 , val loss = 0.006668 , val err = 0.118327 , tst loss = 0.010108 , tst err = 0.094743
epoch = 6 , trn loss = 0.007789 , trn err = 0.088141 , val loss = 0.005329 , val err = 0.105780 , tst loss = 0.008321 , tst err = 0.085957
epoch = 7 , trn loss = 0.007372 , trn err = 0.085748 , val loss = 0.006247 , val err = 0.114530 , tst loss = 0.011210 , tst err = 0.099772
epoch = 8 , trn loss = 0.007257 , trn err = 0.085080 , val loss = 0.005386 , val err = 0.106347 , tst loss = 0.009497 , tst err = 0.091833
epoch = 9 , trn loss = 0.006909 , trn err = 0.083012 , val loss = 0.005196 , val err = 0.104456 , tst loss = 0.008383 , tst err = 0.086281
epoch = 10 , trn loss = 0.006651 , trn err = 0.081447 , val loss = 0.006679 , val err = 0.118423 , tst loss = 0.009692 , tst err = 0.092771
epoch = 11 , trn loss = 0.006657 , trn err = 0.081483 , val loss = 0.006865 , val err = 0.120068 , tst loss = 0.010673 , tst err = 0.097351
epoch = 12 , trn loss = 0.006373 , trn err = 0.079726 , val loss = 0.005654 , val err = 0.108966 , tst loss = 0.008574 , tst err = 0.087255
epoch = 13 , trn loss = 0.006740 , trn err = 0.081988 , val loss = 0.005058 , val err = 0.103054 , tst loss = 0.008818 , tst err = 0.088487
epoch = 14 , trn loss = 0.006254 , trn err = 0.078983 , val loss = 0.005492 , val err = 0.107388 , tst loss = 0.008485 , tst err = 0.086804
epoch = 15 , trn loss = 0.006043 , trn err = 0.077636 , val loss = 0.005261 , val err = 0.105101 , tst loss = 0.008955 , tst err = 0.089172
epoch = 16 , trn loss = 0.006193 , trn err = 0.078591 , val loss = 0.005089 , val err = 0.103370 , tst loss = 0.007160 , tst err = 0.079739
epoch = 17 , trn loss = 0.005860 , trn err = 0.076453 , val loss = 0.005313 , val err = 0.105627 , tst loss = 0.008560 , tst err = 0.087186
epoch = 18 , trn loss = 0.005693 , trn err = 0.075351 , val loss = 0.005129 , val err = 0.103774 , tst loss = 0.008592 , tst err = 0.087350
epoch = 19 , trn loss = 0.005632 , trn err = 0.074952 , val loss = 0.005064 , val err = 0.103118 , tst loss = 0.008539 , tst err = 0.087079
epoch = 20 , trn loss = 0.005562 , trn err = 0.074484 , val loss = 0.005094 , val err = 0.103428 , tst loss = 0.009214 , tst err = 0.090454
epoch = 21 , trn loss = 0.005618 , trn err = 0.074853 , val loss = 0.005205 , val err = 0.104549 , tst loss = 0.007882 , tst err = 0.083659
epoch = 22 , trn loss = 0.005599 , trn err = 0.074727 , val loss = 0.005411 , val err = 0.106589 , tst loss = 0.007866 , tst err = 0.083573
epoch = 23 , trn loss = 0.005516 , trn err = 0.074174 , val loss = 0.006099 , val err = 0.113170 , tst loss = 0.008738 , tst err = 0.088089
epoch = 24 , trn loss = 0.005351 , trn err = 0.073055 , val loss = 0.006147 , val err = 0.113612 , tst loss = 0.009020 , tst err = 0.089498
epoch = 25 , trn loss = 0.005353 , trn err = 0.073069 , val loss = 0.005256 , val err = 0.105061 , tst loss = 0.007147 , tst err = 0.079667
epoch = 26 , trn loss = 0.005219 , trn err = 0.072151 , val loss = 0.005113 , val err = 0.103614 , tst loss = 0.008983 , tst err = 0.089315
epoch = 27 , trn loss = 0.005000 , trn err = 0.070618 , val loss = 0.005222 , val err = 0.104712 , tst loss = 0.008466 , tst err = 0.086703
epoch = 28 , trn loss = 0.005242 , trn err = 0.072308 , val loss = 0.005797 , val err = 0.110333 , tst loss = 0.008820 , tst err = 0.088500
epoch = 29 , trn loss = 0.005022 , trn err = 0.070773 , val loss = 0.005310 , val err = 0.105594 , tst loss = 0.007946 , tst err = 0.084001
epoch = 30 , trn loss = 0.004993 , trn err = 0.070566 , val loss = 0.005450 , val err = 0.106982 , tst loss = 0.008817 , tst err = 0.088483
epoch = 31 , trn loss = 0.005015 , trn err = 0.070723 , val loss = 0.005299 , val err = 0.105483 , tst loss = 0.008017 , tst err = 0.084372
epoch = 32 , trn loss = 0.004892 , trn err = 0.069850 , val loss = 0.004725 , val err = 0.099610 , tst loss = 0.008768 , tst err = 0.088238
epoch = 33 , trn loss = 0.004842 , trn err = 0.069494 , val loss = 0.005045 , val err = 0.102930 , tst loss = 0.007560 , tst err = 0.081933
epoch = 34 , trn loss = 0.004889 , trn err = 0.069832 , val loss = 0.005488 , val err = 0.107345 , tst loss = 0.008583 , tst err = 0.087300
epoch = 35 , trn loss = 0.004755 , trn err = 0.068864 , val loss = 0.004881 , val err = 0.101234 , tst loss = 0.008003 , tst err = 0.084302
epoch = 36 , trn loss = 0.004654 , trn err = 0.068129 , val loss = 0.005361 , val err = 0.106104 , tst loss = 0.008527 , tst err = 0.087018
epoch = 37 , trn loss = 0.004742 , trn err = 0.068775 , val loss = 0.005100 , val err = 0.103485 , tst loss = 0.007138 , tst err = 0.079613
epoch = 38 , trn loss = 0.004715 , trn err = 0.068577 , val loss = 0.005464 , val err = 0.107115 , tst loss = 0.008643 , tst err = 0.087608
epoch = 39 , trn loss = 0.004648 , trn err = 0.068086 , val loss = 0.004668 , val err = 0.099003 , tst loss = 0.008028 , tst err = 0.084434
