Namespace(agcrn_embed_dim=10, agcrn_hidden_size=64, agcrn_n_layers=1, bad_limit=25, batch_size=64, data_dir='data/forecasting', dataset='electricity', device='cuda', dsanet_d_inner=2048, dsanet_d_k=64, dsanet_d_model=512, dsanet_d_v=64, dsanet_dropout=0.1, dsanet_local=3, dsanet_n_head=8, dsanet_n_kernels=32, dsanet_n_layers=1, dsanet_w_kernel=1, fine_tuning=False, horizon=1, lmbd=0.0, local_norm=False, lr=0.003, lstm_hidden_size=64, lstm_n_layers=2, model_decay_rate=1, model_loadpath='outputs/forecasting/electricity_TCN_bstmodel.pth', model_type='TCN', n_epochs=750, n_series=None, norm_type='standard', output_dir='outputs/forecasting', series_len=60, task_type='forecasting', tcn_dropout=0, tcn_hidden_size=64, tcn_n_layers=9, test_ratio=0.2, tpa_ar_len=24, tpa_hidden_size=64, tpa_n_layers=1, trans_hidden_size=256, trans_kernel_size=6, trans_n_head=8, trans_n_layers=3, valid_ratio=0.2)
total num of parameters: 224129
Length of dataset: 15722
Length of dataset: 5261
Length of dataset: 5261
epoch = 1 , trn loss = 0.051066 , trn err = 0.225685 , val loss = 0.009317 , val err = 0.139872 , tst loss = 0.017829 , tst err = 0.125824
epoch = 2 , trn loss = 0.011161 , trn err = 0.105509 , val loss = 0.005766 , val err = 0.110032 , tst loss = 0.009492 , tst err = 0.091807
epoch = 3 , trn loss = 0.010152 , trn err = 0.100625 , val loss = 0.005553 , val err = 0.107983 , tst loss = 0.010559 , tst err = 0.096829
epoch = 4 , trn loss = 0.008506 , trn err = 0.092108 , val loss = 0.006596 , val err = 0.117687 , tst loss = 0.011646 , tst err = 0.101693
epoch = 5 , trn loss = 0.008250 , trn err = 0.090712 , val loss = 0.005811 , val err = 0.110464 , tst loss = 0.009004 , tst err = 0.089416
epoch = 6 , trn loss = 0.008248 , trn err = 0.090699 , val loss = 0.006022 , val err = 0.112447 , tst loss = 0.011724 , tst err = 0.102036
epoch = 7 , trn loss = 0.007588 , trn err = 0.086998 , val loss = 0.006970 , val err = 0.120975 , tst loss = 0.014813 , tst err = 0.114691
epoch = 8 , trn loss = 0.007791 , trn err = 0.088152 , val loss = 0.005014 , val err = 0.102614 , tst loss = 0.008179 , tst err = 0.085221
epoch = 9 , trn loss = 0.007386 , trn err = 0.085830 , val loss = 0.005151 , val err = 0.103998 , tst loss = 0.007793 , tst err = 0.083185
epoch = 10 , trn loss = 0.006960 , trn err = 0.083321 , val loss = 0.006526 , val err = 0.117066 , tst loss = 0.011849 , tst err = 0.102576
epoch = 11 , trn loss = 0.007081 , trn err = 0.084039 , val loss = 0.005117 , val err = 0.103656 , tst loss = 0.008289 , tst err = 0.085793
