Namespace(agcrn_embed_dim=10, agcrn_hidden_size=64, agcrn_n_layers=1, bad_limit=25, batch_size=64, data_dir='data/forecasting', dataset='electricity', device='cuda', dsanet_d_inner=2048, dsanet_d_k=64, dsanet_d_model=512, dsanet_d_v=64, dsanet_dropout=0.1, dsanet_local=3, dsanet_n_head=8, dsanet_n_kernels=32, dsanet_n_layers=1, dsanet_w_kernel=1, fine_tuning=False, horizon=1, lmbd=0.0, local_norm=False, lr=0.001, lstm_hidden_size=64, lstm_n_layers=2, model_decay_rate=1, model_loadpath='outputs/forecasting/electricity_Trans_bstmodel.pth', model_type='Trans', n_epochs=750, n_series=None, norm_type='standard', output_dir='outputs/forecasting', series_len=60, task_type='forecasting', tcn_dropout=0, tcn_hidden_size=64, tcn_n_layers=9, test_ratio=0.2, tpa_ar_len=24, tpa_hidden_size=64, tpa_n_layers=1, trans_hidden_size=256, trans_kernel_size=6, trans_n_head=8, trans_n_layers=3, valid_ratio=0.2)
total num of parameters: 5836097
Length of dataset: 15722
Length of dataset: 5261
Length of dataset: 5261
epoch = 1 , trn loss = 0.161310 , trn err = 0.401114 , val loss = 0.010284 , val err = 0.146951 , tst loss = 0.019929 , tst err = 0.133029
epoch = 2 , trn loss = 0.018585 , trn err = 0.136150 , val loss = 0.005839 , val err = 0.110730 , tst loss = 0.009760 , tst err = 0.093095
epoch = 3 , trn loss = 0.014283 , trn err = 0.119355 , val loss = 0.005922 , val err = 0.111516 , tst loss = 0.016101 , tst err = 0.119574
epoch = 4 , trn loss = 0.012918 , trn err = 0.113510 , val loss = 0.007577 , val err = 0.126136 , tst loss = 0.012457 , tst err = 0.105174
epoch = 5 , trn loss = 0.010924 , trn err = 0.104383 , val loss = 0.006137 , val err = 0.113517 , tst loss = 0.008933 , tst err = 0.089066
epoch = 6 , trn loss = 0.010377 , trn err = 0.101737 , val loss = 0.006085 , val err = 0.113037 , tst loss = 0.010702 , tst err = 0.097485
epoch = 7 , trn loss = 0.010055 , trn err = 0.100143 , val loss = 0.006730 , val err = 0.118877 , tst loss = 0.008718 , tst err = 0.087986
epoch = 8 , trn loss = 0.009965 , trn err = 0.099694 , val loss = 0.005885 , val err = 0.111165 , tst loss = 0.007931 , tst err = 0.083919
epoch = 9 , trn loss = 0.010507 , trn err = 0.102371 , val loss = 0.005739 , val err = 0.109779 , tst loss = 0.009347 , tst err = 0.091106
epoch = 10 , trn loss = 0.009224 , trn err = 0.095917 , val loss = 0.007409 , val err = 0.124732 , tst loss = 0.010646 , tst err = 0.097230
epoch = 11 , trn loss = 0.008474 , trn err = 0.091935 , val loss = 0.006299 , val err = 0.115005 , tst loss = 0.010621 , tst err = 0.097114
epoch = 12 , trn loss = 0.012155 , trn err = 0.110106 , val loss = 0.009022 , val err = 0.137638 , tst loss = 0.015177 , tst err = 0.116091
epoch = 13 , trn loss = 0.011011 , trn err = 0.104800 , val loss = 0.009501 , val err = 0.141245 , tst loss = 0.013331 , tst err = 0.108802
epoch = 14 , trn loss = 0.011372 , trn err = 0.106502 , val loss = 0.007252 , val err = 0.123403 , tst loss = 0.011242 , tst err = 0.099913
epoch = 15 , trn loss = 0.009940 , trn err = 0.099569 , val loss = 0.005681 , val err = 0.109218 , tst loss = 0.009325 , tst err = 0.091000
epoch = 16 , trn loss = 0.009464 , trn err = 0.097158 , val loss = 0.006375 , val err = 0.115699 , tst loss = 0.008435 , tst err = 0.086546
epoch = 17 , trn loss = 0.009423 , trn err = 0.096945 , val loss = 0.006570 , val err = 0.117454 , tst loss = 0.012341 , tst err = 0.104683
epoch = 18 , trn loss = 0.012926 , trn err = 0.113545 , val loss = 0.006780 , val err = 0.119315 , tst loss = 0.011568 , tst err = 0.101351
epoch = 19 , trn loss = 0.014259 , trn err = 0.119255 , val loss = 0.006102 , val err = 0.113191 , tst loss = 0.011315 , tst err = 0.100238
epoch = 20 , trn loss = 0.013210 , trn err = 0.114787 , val loss = 0.006137 , val err = 0.113516 , tst loss = 0.010237 , tst err = 0.095343
epoch = 21 , trn loss = 0.010998 , trn err = 0.104734 , val loss = 0.005664 , val err = 0.109060 , tst loss = 0.010052 , tst err = 0.094478
