Namespace(agcrn_embed_dim=10, agcrn_hidden_size=64, agcrn_n_layers=1, bad_limit=25, batch_size=64, data_dir='data/forecasting', dataset='exchange', device='cuda', dsanet_d_inner=2048, dsanet_d_k=64, dsanet_d_model=512, dsanet_d_v=64, dsanet_dropout=0.1, dsanet_local=3, dsanet_n_head=8, dsanet_n_kernels=32, dsanet_n_layers=1, dsanet_w_kernel=1, fine_tuning=False, horizon=1, lmbd=0.0, local_norm=False, lr=0.003, lstm_hidden_size=64, lstm_n_layers=2, model_decay_rate=1, model_loadpath='outputs/forecasting/exchange_LSTM_bstmodel.pth', model_type='LSTM', n_epochs=750, n_series=None, norm_type='standard', output_dir='outputs/forecasting', series_len=60, task_type='forecasting', tcn_dropout=0, tcn_hidden_size=64, tcn_n_layers=9, test_ratio=0.2, tpa_ar_len=24, tpa_hidden_size=64, tpa_n_layers=1, trans_hidden_size=256, trans_kernel_size=6, trans_n_head=8, trans_n_layers=3, valid_ratio=0.2)
total num of parameters: 52744
Length of dataset: 4492
Length of dataset: 1518
Length of dataset: 1518
epoch = 1 , trn loss = 0.105389 , trn err = 0.324499 , val loss = 0.124411 , val err = 0.345375 , tst loss = 0.124028 , tst err = 0.366704
epoch = 2 , trn loss = 0.018759 , trn err = 0.136906 , val loss = 0.082444 , val err = 0.281151 , tst loss = 0.105056 , tst err = 0.337495
epoch = 3 , trn loss = 0.008054 , trn err = 0.089708 , val loss = 0.089796 , val err = 0.293420 , tst loss = 0.092777 , tst err = 0.317158
epoch = 4 , trn loss = 0.004851 , trn err = 0.069622 , val loss = 0.049770 , val err = 0.218446 , tst loss = 0.050527 , tst err = 0.234054
epoch = 5 , trn loss = 0.003660 , trn err = 0.060470 , val loss = 0.042456 , val err = 0.201758 , tst loss = 0.041551 , tst err = 0.212249
epoch = 6 , trn loss = 0.003443 , trn err = 0.058654 , val loss = 0.040906 , val err = 0.198042 , tst loss = 0.039138 , tst err = 0.205996
epoch = 7 , trn loss = 0.002725 , trn err = 0.052184 , val loss = 0.038556 , val err = 0.192268 , tst loss = 0.040852 , tst err = 0.210458
epoch = 8 , trn loss = 0.001682 , trn err = 0.040993 , val loss = 0.037877 , val err = 0.190568 , tst loss = 0.038378 , tst err = 0.203986
epoch = 9 , trn loss = 0.001422 , trn err = 0.037690 , val loss = 0.040605 , val err = 0.197310 , tst loss = 0.040630 , tst err = 0.209885
epoch = 10 , trn loss = 0.001362 , trn err = 0.036894 , val loss = 0.036193 , val err = 0.186283 , tst loss = 0.035147 , tst err = 0.195210
epoch = 11 , trn loss = 0.001242 , trn err = 0.035231 , val loss = 0.039991 , val err = 0.195814 , tst loss = 0.037279 , tst err = 0.201042
epoch = 12 , trn loss = 0.001054 , trn err = 0.032449 , val loss = 0.035050 , val err = 0.183319 , tst loss = 0.029889 , tst err = 0.180017
epoch = 13 , trn loss = 0.000915 , trn err = 0.030244 , val loss = 0.032422 , val err = 0.176312 , tst loss = 0.025676 , tst err = 0.166849
epoch = 14 , trn loss = 0.000710 , trn err = 0.026637 , val loss = 0.031551 , val err = 0.173929 , tst loss = 0.025077 , tst err = 0.164891
epoch = 15 , trn loss = 0.000570 , trn err = 0.023869 , val loss = 0.026766 , val err = 0.160197 , tst loss = 0.022351 , tst err = 0.155670
epoch = 16 , trn loss = 0.000509 , trn err = 0.022542 , val loss = 0.025502 , val err = 0.156370 , tst loss = 0.020948 , tst err = 0.150705
epoch = 17 , trn loss = 0.000473 , trn err = 0.021743 , val loss = 0.025425 , val err = 0.156131 , tst loss = 0.020520 , tst err = 0.149158
epoch = 18 , trn loss = 0.000444 , trn err = 0.021063 , val loss = 0.024095 , val err = 0.151993 , tst loss = 0.019580 , tst err = 0.145702
epoch = 19 , trn loss = 0.000427 , trn err = 0.020647 , val loss = 0.023654 , val err = 0.150595 , tst loss = 0.019957 , tst err = 0.147097
epoch = 20 , trn loss = 0.000449 , trn err = 0.021172 , val loss = 0.023871 , val err = 0.151284 , tst loss = 0.019410 , tst err = 0.145069
epoch = 21 , trn loss = 0.000422 , trn err = 0.020537 , val loss = 0.023702 , val err = 0.150750 , tst loss = 0.019580 , tst err = 0.145700
epoch = 22 , trn loss = 0.000364 , trn err = 0.019059 , val loss = 0.022867 , val err = 0.148068 , tst loss = 0.018762 , tst err = 0.142625
epoch = 23 , trn loss = 0.000376 , trn err = 0.019372 , val loss = 0.021678 , val err = 0.144168 , tst loss = 0.018279 , tst err = 0.140779
epoch = 24 , trn loss = 0.000354 , trn err = 0.018796 , val loss = 0.018680 , val err = 0.133829 , tst loss = 0.016400 , tst err = 0.133345
epoch = 25 , trn loss = 0.000422 , trn err = 0.020532 , val loss = 0.021060 , val err = 0.142099 , tst loss = 0.018495 , tst err = 0.141608
