Namespace(agcrn_embed_dim=10, agcrn_hidden_size=64, agcrn_n_layers=1, bad_limit=25, batch_size=64, data_dir='data/forecasting', dataset='exchange', device='cuda', dsanet_d_inner=2048, dsanet_d_k=64, dsanet_d_model=512, dsanet_d_v=64, dsanet_dropout=0.1, dsanet_local=3, dsanet_n_head=8, dsanet_n_kernels=32, dsanet_n_layers=1, dsanet_w_kernel=1, fine_tuning=False, horizon=1, lmbd=0.0, local_norm=False, lr=0.001, lstm_hidden_size=64, lstm_n_layers=2, model_decay_rate=1, model_loadpath='outputs/forecasting/exchange_Trans_bstmodel.pth', model_type='Trans', n_epochs=750, n_series=None, norm_type='standard', output_dir='outputs/forecasting', series_len=60, task_type='forecasting', tcn_dropout=0, tcn_hidden_size=64, tcn_n_layers=9, test_ratio=0.2, tpa_ar_len=24, tpa_hidden_size=64, tpa_n_layers=1, trans_hidden_size=256, trans_kernel_size=6, trans_n_head=8, trans_n_layers=3, valid_ratio=0.2)
total num of parameters: 5274888
Length of dataset: 4492
Length of dataset: 1518
Length of dataset: 1518
epoch = 1 , trn loss = 0.140859 , trn err = 0.375153 , val loss = 0.121733 , val err = 0.341638 , tst loss = 0.127175 , tst err = 0.371327
epoch = 2 , trn loss = 0.048369 , trn err = 0.219837 , val loss = 0.101822 , val err = 0.312452 , tst loss = 0.114525 , tst err = 0.352376
epoch = 3 , trn loss = 0.019827 , trn err = 0.140749 , val loss = 0.115090 , val err = 0.332186 , tst loss = 0.126163 , tst err = 0.369847
epoch = 4 , trn loss = 0.013221 , trn err = 0.114935 , val loss = 0.126509 , val err = 0.348275 , tst loss = 0.133486 , tst err = 0.380430
epoch = 5 , trn loss = 0.010873 , trn err = 0.104231 , val loss = 0.119707 , val err = 0.338783 , tst loss = 0.133844 , tst err = 0.380940
epoch = 6 , trn loss = 0.008585 , trn err = 0.092615 , val loss = 0.081923 , val err = 0.280262 , tst loss = 0.078036 , tst err = 0.290874
epoch = 7 , trn loss = 0.006171 , trn err = 0.078526 , val loss = 0.069837 , val err = 0.258765 , tst loss = 0.059308 , tst err = 0.253579
epoch = 8 , trn loss = 0.004838 , trn err = 0.069527 , val loss = 0.056372 , val err = 0.232485 , tst loss = 0.045718 , tst err = 0.222638
epoch = 9 , trn loss = 0.003887 , trn err = 0.062318 , val loss = 0.053496 , val err = 0.226475 , tst loss = 0.048807 , tst err = 0.230036
epoch = 10 , trn loss = 0.003066 , trn err = 0.055345 , val loss = 0.060877 , val err = 0.241596 , tst loss = 0.054257 , tst err = 0.242541
epoch = 11 , trn loss = 0.002896 , trn err = 0.053790 , val loss = 0.057265 , val err = 0.234318 , tst loss = 0.052665 , tst err = 0.238955
epoch = 12 , trn loss = 0.002406 , trn err = 0.049027 , val loss = 0.051004 , val err = 0.221138 , tst loss = 0.040031 , tst err = 0.208331
epoch = 13 , trn loss = 0.002260 , trn err = 0.047517 , val loss = 0.068023 , val err = 0.255382 , tst loss = 0.050679 , tst err = 0.234406
epoch = 14 , trn loss = 0.001886 , trn err = 0.043411 , val loss = 0.064453 , val err = 0.248590 , tst loss = 0.047780 , tst err = 0.227604
epoch = 15 , trn loss = 0.001852 , trn err = 0.043013 , val loss = 0.060475 , val err = 0.240797 , tst loss = 0.041510 , tst err = 0.212145
epoch = 16 , trn loss = 0.001745 , trn err = 0.041760 , val loss = 0.065643 , val err = 0.250873 , tst loss = 0.046134 , tst err = 0.223649
epoch = 17 , trn loss = 0.001746 , trn err = 0.041764 , val loss = 0.061857 , val err = 0.243532 , tst loss = 0.042645 , tst err = 0.215026
epoch = 18 , trn loss = 0.001648 , trn err = 0.040580 , val loss = 0.058185 , val err = 0.236193 , tst loss = 0.038732 , tst err = 0.204925
epoch = 19 , trn loss = 0.001396 , trn err = 0.037344 , val loss = 0.059028 , val err = 0.237899 , tst loss = 0.038749 , tst err = 0.204967
epoch = 20 , trn loss = 0.001402 , trn err = 0.037431 , val loss = 0.059469 , val err = 0.238786 , tst loss = 0.039605 , tst err = 0.207221
