Namespace(agcrn_embed_dim=10, agcrn_hidden_size=64, agcrn_n_layers=1, bad_limit=25, batch_size=64, data_dir='data/forecasting', dataset='solar', device='cuda', dsanet_d_inner=2048, dsanet_d_k=64, dsanet_d_model=512, dsanet_d_v=64, dsanet_dropout=0.1, dsanet_local=3, dsanet_n_head=8, dsanet_n_kernels=32, dsanet_n_layers=1, dsanet_w_kernel=1, fine_tuning=False, horizon=1, lmbd=0.0, local_norm=False, lr=0.003, lstm_hidden_size=64, lstm_n_layers=2, model_decay_rate=1, model_loadpath='outputs/forecasting/solar_LSTM_bstmodel.pth', model_type='LSTM', n_epochs=750, n_series=None, norm_type='standard', output_dir='outputs/forecasting', series_len=60, task_type='forecasting', tcn_dropout=0, tcn_hidden_size=64, tcn_n_layers=9, test_ratio=0.2, tpa_ar_len=24, tpa_hidden_size=64, tpa_n_layers=1, trans_hidden_size=256, trans_kernel_size=6, trans_n_head=8, trans_n_layers=3, valid_ratio=0.2)
total num of parameters: 94153
Length of dataset: 31476
Length of dataset: 10512
Length of dataset: 10512
epoch = 1 , trn loss = 0.072737 , trn err = 0.269532 , val loss = 0.045378 , val err = 0.226409 , tst loss = 0.028953 , tst err = 0.201288
epoch = 2 , trn loss = 0.037036 , trn err = 0.192330 , val loss = 0.038322 , val err = 0.208062 , tst loss = 0.023393 , tst err = 0.180930
epoch = 3 , trn loss = 0.032470 , trn err = 0.180083 , val loss = 0.036421 , val err = 0.202836 , tst loss = 0.021926 , tst err = 0.175168
epoch = 4 , trn loss = 0.030081 , trn err = 0.173332 , val loss = 0.034148 , val err = 0.196406 , tst loss = 0.020315 , tst err = 0.168608
epoch = 5 , trn loss = 0.028342 , trn err = 0.168247 , val loss = 0.032298 , val err = 0.191010 , tst loss = 0.019006 , tst err = 0.163086
epoch = 6 , trn loss = 0.027123 , trn err = 0.164589 , val loss = 0.031375 , val err = 0.188262 , tst loss = 0.018448 , tst err = 0.160674
epoch = 7 , trn loss = 0.026274 , trn err = 0.161992 , val loss = 0.031346 , val err = 0.188173 , tst loss = 0.018536 , tst err = 0.161059
epoch = 8 , trn loss = 0.025642 , trn err = 0.160034 , val loss = 0.030425 , val err = 0.185390 , tst loss = 0.017922 , tst err = 0.158368
epoch = 9 , trn loss = 0.025221 , trn err = 0.158715 , val loss = 0.030042 , val err = 0.184220 , tst loss = 0.017547 , tst err = 0.156704
epoch = 10 , trn loss = 0.024675 , trn err = 0.156987 , val loss = 0.030546 , val err = 0.185757 , tst loss = 0.017726 , tst err = 0.157497
epoch = 11 , trn loss = 0.024193 , trn err = 0.155445 , val loss = 0.029691 , val err = 0.183139 , tst loss = 0.017180 , tst err = 0.155056
epoch = 12 , trn loss = 0.023983 , trn err = 0.154769 , val loss = 0.030282 , val err = 0.184953 , tst loss = 0.017552 , tst err = 0.156723
epoch = 13 , trn loss = 0.023583 , trn err = 0.153473 , val loss = 0.029311 , val err = 0.181964 , tst loss = 0.017067 , tst err = 0.154543
epoch = 14 , trn loss = 0.023365 , trn err = 0.152762 , val loss = 0.029635 , val err = 0.182966 , tst loss = 0.017458 , tst err = 0.156305
epoch = 15 , trn loss = 0.023228 , trn err = 0.152313 , val loss = 0.029063 , val err = 0.181193 , tst loss = 0.016689 , tst err = 0.152821
epoch = 16 , trn loss = 0.023060 , trn err = 0.151762 , val loss = 0.029062 , val err = 0.181189 , tst loss = 0.016770 , tst err = 0.153195
epoch = 17 , trn loss = 0.022702 , trn err = 0.150580 , val loss = 0.028717 , val err = 0.180111 , tst loss = 0.016677 , tst err = 0.152769
epoch = 18 , trn loss = 0.022518 , trn err = 0.149969 , val loss = 0.028729 , val err = 0.180147 , tst loss = 0.016735 , tst err = 0.153033
epoch = 19 , trn loss = 0.022368 , trn err = 0.149468 , val loss = 0.028663 , val err = 0.179943 , tst loss = 0.016637 , tst err = 0.152583
epoch = 20 , trn loss = 0.022226 , trn err = 0.148993 , val loss = 0.028841 , val err = 0.180500 , tst loss = 0.016891 , tst err = 0.153743
epoch = 21 , trn loss = 0.022031 , trn err = 0.148339 , val loss = 0.028653 , val err = 0.179910 , tst loss = 0.016761 , tst err = 0.153150
epoch = 22 , trn loss = 0.021941 , trn err = 0.148034 , val loss = 0.028960 , val err = 0.180872 , tst loss = 0.016873 , tst err = 0.153665
epoch = 23 , trn loss = 0.021726 , trn err = 0.147308 , val loss = 0.029568 , val err = 0.182761 , tst loss = 0.017364 , tst err = 0.155881
epoch = 24 , trn loss = 0.021709 , trn err = 0.147250 , val loss = 0.028358 , val err = 0.178980 , tst loss = 0.016420 , tst err = 0.151588
epoch = 25 , trn loss = 0.021613 , trn err = 0.146924 , val loss = 0.028550 , val err = 0.179588 , tst loss = 0.016360 , tst err = 0.151309
epoch = 26 , trn loss = 0.021390 , trn err = 0.146162 , val loss = 0.028705 , val err = 0.180073 , tst loss = 0.016746 , tst err = 0.153082
