Namespace(agcrn_embed_dim=10, agcrn_hidden_size=64, agcrn_n_layers=1, bad_limit=25, batch_size=64, data_dir='data/forecasting', dataset='solar', device='cuda', dsanet_d_inner=2048, dsanet_d_k=64, dsanet_d_model=512, dsanet_d_v=64, dsanet_dropout=0.1, dsanet_local=3, dsanet_n_head=8, dsanet_n_kernels=32, dsanet_n_layers=1, dsanet_w_kernel=1, fine_tuning=False, horizon=1, lmbd=0.0, local_norm=False, lr=0.003, lstm_hidden_size=64, lstm_n_layers=2, model_decay_rate=1, model_loadpath='outputs/forecasting/solar_TCN_bstmodel.pth', model_type='TCN', n_epochs=750, n_series=None, norm_type='standard', output_dir='outputs/forecasting', series_len=60, task_type='forecasting', tcn_dropout=0, tcn_hidden_size=64, tcn_n_layers=9, test_ratio=0.2, tpa_ar_len=24, tpa_hidden_size=64, tpa_n_layers=1, trans_hidden_size=256, trans_kernel_size=6, trans_n_head=8, trans_n_layers=3, valid_ratio=0.2)
total num of parameters: 176841
Length of dataset: 31476
Length of dataset: 10512
Length of dataset: 10512
epoch = 1 , trn loss = 0.058630 , trn err = 0.241987 , val loss = 0.038064 , val err = 0.207362 , tst loss = 0.023854 , tst err = 0.182706
epoch = 2 , trn loss = 0.030122 , trn err = 0.173451 , val loss = 0.032108 , val err = 0.190447 , tst loss = 0.019511 , tst err = 0.165238
epoch = 3 , trn loss = 0.026978 , trn err = 0.164148 , val loss = 0.029804 , val err = 0.183487 , tst loss = 0.017949 , tst err = 0.158485
epoch = 4 , trn loss = 0.025570 , trn err = 0.159808 , val loss = 0.029536 , val err = 0.182661 , tst loss = 0.017602 , tst err = 0.156948
epoch = 5 , trn loss = 0.024695 , trn err = 0.157051 , val loss = 0.028352 , val err = 0.178964 , tst loss = 0.016832 , tst err = 0.153474
epoch = 6 , trn loss = 0.024441 , trn err = 0.156241 , val loss = 0.027670 , val err = 0.176798 , tst loss = 0.016473 , tst err = 0.151830
epoch = 7 , trn loss = 0.023717 , trn err = 0.153908 , val loss = 0.027250 , val err = 0.175452 , tst loss = 0.016034 , tst err = 0.149794
epoch = 8 , trn loss = 0.023503 , trn err = 0.153211 , val loss = 0.027784 , val err = 0.177161 , tst loss = 0.016753 , tst err = 0.153115
epoch = 9 , trn loss = 0.023255 , trn err = 0.152404 , val loss = 0.026955 , val err = 0.174499 , tst loss = 0.015904 , tst err = 0.149183
epoch = 10 , trn loss = 0.023198 , trn err = 0.152215 , val loss = 0.027443 , val err = 0.176070 , tst loss = 0.016336 , tst err = 0.151200
epoch = 11 , trn loss = 0.022943 , trn err = 0.151377 , val loss = 0.026596 , val err = 0.173332 , tst loss = 0.015649 , tst err = 0.147984
epoch = 12 , trn loss = 0.022982 , trn err = 0.151506 , val loss = 0.026651 , val err = 0.173512 , tst loss = 0.015468 , tst err = 0.147128
epoch = 13 , trn loss = 0.022779 , trn err = 0.150834 , val loss = 0.026536 , val err = 0.173135 , tst loss = 0.015555 , tst err = 0.147537
epoch = 14 , trn loss = 0.022863 , trn err = 0.151111 , val loss = 0.026842 , val err = 0.174132 , tst loss = 0.015890 , tst err = 0.149121
epoch = 15 , trn loss = 0.022575 , trn err = 0.150158 , val loss = 0.026600 , val err = 0.173346 , tst loss = 0.015579 , tst err = 0.147652
epoch = 16 , trn loss = 0.022584 , trn err = 0.150188 , val loss = 0.027070 , val err = 0.174870 , tst loss = 0.016009 , tst err = 0.149679
epoch = 17 , trn loss = 0.022652 , trn err = 0.150414 , val loss = 0.026962 , val err = 0.174521 , tst loss = 0.015937 , tst err = 0.149341
epoch = 18 , trn loss = 0.022602 , trn err = 0.150249 , val loss = 0.026843 , val err = 0.174136 , tst loss = 0.015735 , tst err = 0.148391
epoch = 19 , trn loss = 0.022377 , trn err = 0.149496 , val loss = 0.026458 , val err = 0.172881 , tst loss = 0.015410 , tst err = 0.146851
epoch = 20 , trn loss = 0.022390 , trn err = 0.149540 , val loss = 0.026734 , val err = 0.173782 , tst loss = 0.015735 , tst err = 0.148389
epoch = 21 , trn loss = 0.022375 , trn err = 0.149492 , val loss = 0.027843 , val err = 0.177350 , tst loss = 0.016510 , tst err = 0.152000
epoch = 22 , trn loss = 0.022413 , trn err = 0.149617 , val loss = 0.026675 , val err = 0.173588 , tst loss = 0.015756 , tst err = 0.148491
epoch = 23 , trn loss = 0.022250 , trn err = 0.149074 , val loss = 0.027589 , val err = 0.176538 , tst loss = 0.016541 , tst err = 0.152144
epoch = 24 , trn loss = 0.022288 , trn err = 0.149198 , val loss = 0.026808 , val err = 0.174023 , tst loss = 0.015868 , tst err = 0.149016
epoch = 25 , trn loss = 0.022125 , trn err = 0.148654 , val loss = 0.026796 , val err = 0.173984 , tst loss = 0.015631 , tst err = 0.147900
epoch = 26 , trn loss = 0.022116 , trn err = 0.148625 , val loss = 0.026690 , val err = 0.173638 , tst loss = 0.015640 , tst err = 0.147940
epoch = 27 , trn loss = 0.022001 , trn err = 0.148237 , val loss = 0.027614 , val err = 0.176619 , tst loss = 0.016444 , tst err = 0.151697
epoch = 28 , trn loss = 0.022090 , trn err = 0.148535 , val loss = 0.027467 , val err = 0.176148 , tst loss = 0.016365 , tst err = 0.151331
epoch = 29 , trn loss = 0.022166 , trn err = 0.148790 , val loss = 0.027656 , val err = 0.176752 , tst loss = 0.016428 , tst err = 0.151624
epoch = 30 , trn loss = 0.022000 , trn err = 0.148232 , val loss = 0.026942 , val err = 0.174454 , tst loss = 0.016018 , tst err = 0.149718
epoch = 31 , trn loss = 0.021974 , trn err = 0.148145 , val loss = 0.027196 , val err = 0.175277 , tst loss = 0.016024 , tst err = 0.149749
epoch = 32 , trn loss = 0.021895 , trn err = 0.147880 , val loss = 0.027887 , val err = 0.177490 , tst loss = 0.016424 , tst err = 0.151605
epoch = 33 , trn loss = 0.021911 , trn err = 0.147933 , val loss = 0.027278 , val err = 0.175539 , tst loss = 0.016010 , tst err = 0.149683
